id,name,price,total_amount,
1,Item1,1,10,02-Nov-2020
2,Item2,2,12,03-Nov-2020
3,Item3,3,14,04-Nov-2020
4,Item4,4,16,05-Nov-2020
5,Item5,5,18,06-Nov-2020
6,Item6,6,20,07-Nov-2020
7,Item7,7,22,08-Nov-2020
8,Item8,8,24,09-Nov-2020
9,Item9,9,26,10-Nov-2020
10,Item10,10,28,11-Nov-2020
11,Item11,11,30,12-Nov-2020
12,Item12,12,32,13-Nov-2020
13,Item13,13,34,14-Nov-2020
14,Item14,14,36,15-Nov-2020
15,Item15,15,38,16-Nov-2020
16,Item16,16,40,17-Nov-2020
17,Item17,17,42,18-Nov-2020
18,Item18,18,44,19-Nov-2020
19,Item19,19,46,20-Nov-2020
20,Item20,20,48,21-Nov-2020
